intervention,alignment,detail_1,detail_2,detail_3
MPA Establishment,aligned,Compatible with CFP Article 11 for environmental protection measures,Supports MSFD Good Environmental Status objectives under Descriptor 1,Aligns with EU Biodiversity Strategy 30x30 marine protection target
Seagrass Restoration,aligned,Supports CFP ecosystem-based approach under Article 2(3),Compatible with EMFAF Article 25 funding for habitat restoration,Aligns with EU Nature Restoration Law Article 5 marine targets
Offshore Wind Siting,partial,May require adjustment to fishing effort limits in designated zones,Needs Maritime Spatial Planning Directive coordination with fishing areas,Requires Article 11 MSFD/CFP coordination for spatial overlap with fishing grounds
Fishing Quota Redistribution,conflict,Directly modifies CFP Total Allowable Catch quota allocation system,Requires Council Regulation amendment under CFP Article 43(3),May trigger EMFAF Article 17 compensation obligations for displaced fleets
Coastal Wetland Conservation,aligned,Compatible with CFP landing obligation and discard ban near coastal zones,Supports CFP Article 2 objective of ecosystem-based fisheries management,Aligns with EU Nature Restoration Law coastal wetland restoration targets
Coral Reef Protection,aligned,Supports CFP vulnerable marine ecosystem protections under GFCM,Compatible with Mediterranean Regulation Article 13 restricted fishing zones,Aligns with Barcelona Convention SPAMI designation requirements
Mangrove Replanting,partial,Limited CFP relevance in EU waters but supports overseas territory fisheries,Partial alignment with EMFAF Blue Economy measures in outermost regions,Requires coordination with EU Outermost Regions fisheries adaptation plans
Marine Litter Reduction,aligned,Supports CFP lost gear retrieval obligations under EMFAF Article 25,Compatible with Single-Use Plastics Directive reducing fishing gear impacts,Aligns with MSFD Descriptor 10 marine litter reduction targets
Sustainable Aquaculture Zone,partial,Needs coordination with CFP aquaculture strategic guidelines,Partial overlap with EMFAF aquaculture funding under Articles 26-29,Requires Environmental Impact Assessment under Habitats Directive Article 6
Deep-Sea Mining Moratorium,conflict,Conflicts with CFP deep-sea access regime under Regulation 2016/2336,Requires revision of EU deep-sea fishing authorisation framework,May conflict with International Seabed Authority obligations under UNCLOS Part XI
