intervention,tenet,score,status,description,source
MPA Establishment,Ecologically sustainable,0.88,green,Strong evidence that well-enforced MPAs restore fish biomass and habitat integrity,Lester et al. 2009; Edgar et al. 2014
MPA Establishment,Technologically feasible,0.75,green,Proven spatial planning tools and monitoring technologies available for MPA designation,Lubchenco & Grorud-Colvert 2015
MPA Establishment,Economically viable,0.42,amber,High short-term costs from fishing displacement offset by long-term spillover benefits,Sala et al. 2021
MPA Establishment,Socially desirable,0.38,red,Fishing communities often oppose strict protection due to livelihood impacts,Bennett & Dearden 2014
MPA Establishment,Ethically defensible,0.72,green,Precautionary principle supports protection of marine biodiversity for future generations,CBD COP15 Decision 15/4
MPA Establishment,Culturally inclusive,0.35,red,Indigenous and artisanal fishing cultures frequently excluded from designation process,Martin et al. 2016
MPA Establishment,Legally permissible,0.85,green,Strong EU legal basis under Habitats Directive and EU Biodiversity Strategy 2030,Directive 92/43/EEC; COM(2020) 380
MPA Establishment,Administratively achievable,0.55,amber,Cross-border coordination challenges and enforcement capacity gaps in many Member States,ECA Special Report 26/2020
MPA Establishment,Effectively communicable,0.48,amber,Scientific rationale often poorly communicated to affected fishing communities,Jefferson et al. 2015
MPA Establishment,Politically expedient,0.62,amber,High-level EU commitment (30x30) but local political resistance in fishing-dependent areas,EU Biodiversity Strategy 2030
Seagrass Restoration,Ecologically sustainable,0.82,green,Seagrass meadows provide critical nursery habitat and carbon sequestration services,Unsworth et al. 2019
Seagrass Restoration,Technologically feasible,0.58,amber,Restoration techniques improving but success rates remain variable across sites,van Katwijk et al. 2016
Seagrass Restoration,Economically viable,0.65,amber,Cost-effective when accounting for carbon credits and fishery enhancement benefits,Duarte et al. 2020
Seagrass Restoration,Socially desirable,0.70,green,Widely supported as non-exclusionary conservation with visible ecosystem benefits,Cullen-Unsworth et al. 2014
Seagrass Restoration,Ethically defensible,0.78,green,Restores degraded ecosystems without displacing existing users from marine space,Nature Restoration Law 2024/1991
Seagrass Restoration,Culturally inclusive,0.62,amber,Local ecological knowledge underutilised in site selection despite community willingness,McKenzie et al. 2020
Seagrass Restoration,Legally permissible,0.80,green,Supported by Nature Restoration Law and Habitats Directive Annex I habitat protection,Regulation 2024/1991 Art. 5
Seagrass Restoration,Administratively achievable,0.60,amber,Requires cross-sectoral coordination between environment and maritime agencies,EEA Report 2023
Seagrass Restoration,Effectively communicable,0.72,green,Strong visual narrative around blue carbon and underwater meadows engages public support,Fourqurean et al. 2012
Seagrass Restoration,Politically expedient,0.68,amber,Politically safe as win-win measure but competes for funding with higher-profile actions,LIFE Programme reporting
Offshore Wind Siting,Ecologically sustainable,0.45,amber,Potential impacts on seabirds and marine mammals require careful spatial planning,Bergstrom et al. 2014
Offshore Wind Siting,Technologically feasible,0.88,green,Mature technology with proven deployment across North Sea and Baltic regions,WindEurope 2023
Offshore Wind Siting,Economically viable,0.82,green,Strong investment case driven by REPowerEU targets and declining levelised costs,IEA Offshore Wind Outlook 2024
Offshore Wind Siting,Socially desirable,0.52,amber,Coastal communities divided between job creation and visual or noise impacts,Haggett 2011; Rudolph 2014
Offshore Wind Siting,Ethically defensible,0.58,amber,Climate mitigation benefits clear but localised environmental costs create equity concerns,Sovacool et al. 2021
Offshore Wind Siting,Culturally inclusive,0.40,amber,Seascape cultural values and traditional navigation routes often poorly considered,Gee 2010
Offshore Wind Siting,Legally permissible,0.78,green,Strong EU legal framework under Maritime Spatial Planning and RED III directives,Directive 2014/89/EU; Directive 2023/2413
Offshore Wind Siting,Administratively achievable,0.55,amber,Permitting bottlenecks and cross-border EIA requirements slow deployment,EC Recommendation 2024 on permitting
