Intervention,EMFAF,LIFE,Cohesion Fund,EAFRD,Just Transition Fund
MPA Establishment,Eligible,Eligible,Not eligible,Not eligible,Not eligible
Seagrass Restoration,Eligible,Eligible,Partial,Not eligible,Not eligible
Offshore Wind Siting,Partial,Partial,Eligible,Not eligible,Eligible
Fishing Quota Redistribution,Eligible,Not eligible,Not eligible,Not eligible,Eligible
Coastal Wetland Conservation,Partial,Eligible,Partial,Eligible,Not eligible
Posidonia Meadow Protection,Eligible,Eligible,Not eligible,Not eligible,Not eligible
Marine Habitat Restoration,Eligible,Eligible,Eligible,Partial,Eligible
Marine Litter Reduction,Eligible,Eligible,Eligible,Not eligible,Partial
Sustainable Aquaculture Zone,Eligible,Partial,Partial,Eligible,Not eligible
Deep-Sea Mining Moratorium,Not eligible,Partial,Not eligible,Not eligible,Not eligible
