indicator,gbf_target_value,gbf_target_name,target_year,source
Marine Biodiversity Index,0.75,Target 1 - Spatial planning for biodiversity,2030,Kunming-Montreal GBF Target 1
Habitat Condition,0.80,Target 2 - Restore 30% of degraded ecosystems,2030,Kunming-Montreal GBF Target 2
Ecosystem Services,0.70,Target 11 - Restore and maintain ecosystem services,2030,Kunming-Montreal GBF Target 11
Community Wellbeing Index,0.65,Target 22 - Inclusive decision-making,2030,Kunming-Montreal GBF Target 22
Governance Effectiveness,0.72,Target 14 - Mainstream biodiversity in policy,2030,Kunming-Montreal GBF Target 14
Livelihoods & Employment,0.65,Target 22 - Inclusive decision-making,2030,Kunming-Montreal GBF Target 22
Equity Score,0.72,Target 14 - Mainstream biodiversity in policy,2030,Kunming-Montreal GBF Target 14
Fish Stock Biomass,0.75,Target 3 - 30x30 conservation of land and sea areas,2030,Kunming-Montreal GBF Target 3
Sustainable Fishing,0.70,Target 6 - Reduce pollution and overfishing impacts,2030,Kunming-Montreal GBF Target 6
Offshore Wind Capacity,0.60,Target 7 - Reduce pollution,2030,EU Biodiversity Strategy
Coastal Tourism Pressure,0.55,Target 12 - Green urban spaces,2030,MSFD Assessment
Bathing Water Quality,0.85,SDG 14.1 - Marine pollution,2030,EU Bathing Water Directive
Contaminant Status,0.80,Target 7 - Reduce pollution to non-harmful levels,2030,MSFD D8 Good Environmental Status
Eutrophication Status,0.75,Target 7 - Reduce pollution to non-harmful levels,2030,MSFD D5 Good Environmental Status
Underwater Noise,0.70,Target 7 - Reduce pollution to non-harmful levels,2030,MSFD D11 threshold values
