year,region,indicator,value,source
2010,Mediterranean,Fish Stock Biomass,0.35,GFCM SAF 2023
2011,Mediterranean,Fish Stock Biomass,0.34,GFCM SAF 2023
2012,Mediterranean,Fish Stock Biomass,0.36,GFCM SAF 2023
2013,Mediterranean,Fish Stock Biomass,0.37,GFCM SAF 2023
2014,Mediterranean,Fish Stock Biomass,0.38,GFCM SAF 2023
2015,Mediterranean,Fish Stock Biomass,0.39,GFCM SAF 2023
2016,Mediterranean,Fish Stock Biomass,0.40,GFCM SAF 2023
2017,Mediterranean,Fish Stock Biomass,0.42,GFCM SAF 2023
2018,Mediterranean,Fish Stock Biomass,0.43,GFCM SAF 2023
2019,Mediterranean,Fish Stock Biomass,0.44,GFCM SAF 2023
2020,Mediterranean,Fish Stock Biomass,0.45,GFCM SAF 2023
2021,Mediterranean,Fish Stock Biomass,0.46,GFCM SAF 2023
2022,Mediterranean,Fish Stock Biomass,0.47,GFCM SAF 2023
2023,Mediterranean,Fish Stock Biomass,0.48,GFCM SAF 2023
2024,Mediterranean,Fish Stock Biomass,0.49,GFCM SAF 2023
2025,Mediterranean,Fish Stock Biomass,0.50,GFCM SAF 2023
2010,Mediterranean,Sustainable Fishing,0.28,GFCM SAF 2023
2011,Mediterranean,Sustainable Fishing,0.29,GFCM SAF 2023
2012,Mediterranean,Sustainable Fishing,0.30,GFCM SAF 2023
2013,Mediterranean,Sustainable Fishing,0.31,GFCM SAF 2023
2014,Mediterranean,Sustainable Fishing,0.32,GFCM SAF 2023
2015,Mediterranean,Sustainable Fishing,0.33,GFCM SAF 2023
2016,Mediterranean,Sustainable Fishing,0.35,GFCM SAF 2023
2017,Mediterranean,Sustainable Fishing,0.37,GFCM SAF 2023
2018,Mediterranean,Sustainable Fishing,0.39,GFCM SAF 2023
2019,Mediterranean,Sustainable Fishing,0.40,GFCM SAF 2023
2020,Mediterranean,Sustainable Fishing,0.41,GFCM SAF 2023
2021,Mediterranean,Sustainable Fishing,0.42,GFCM SAF 2023
2022,Mediterranean,Sustainable Fishing,0.44,GFCM SAF 2023
2023,Mediterranean,Sustainable Fishing,0.45,GFCM SAF 2023
2024,Mediterranean,Sustainable Fishing,0.46,GFCM SAF 2023
2025,Mediterranean,Sustainable Fishing,0.47,GFCM SAF 2023
2010,Black Sea,Fish Stock Biomass,0.30,GFCM SAF 2023
2011,Black Sea,Fish Stock Biomass,0.29,GFCM SAF 2023
2012,Black Sea,Fish Stock Biomass,0.31,GFCM SAF 2023
2013,Black Sea,Fish Stock Biomass,0.32,GFCM SAF 2023
2014,Black Sea,Fish Stock Biomass,0.33,GFCM SAF 2023
2015,Black Sea,Fish Stock Biomass,0.34,GFCM SAF 2023
2016,Black Sea,Fish Stock Biomass,0.35,GFCM SAF 2023
2017,Black Sea,Fish Stock Biomass,0.36,GFCM SAF 2023
2018,Black Sea,Fish Stock Biomass,0.37,GFCM SAF 2023
2019,Black Sea,Fish Stock Biomass,0.38,GFCM SAF 2023
2020,Black Sea,Fish Stock Biomass,0.39,GFCM SAF 2023
2021,Black Sea,Fish Stock Biomass,0.38,GFCM SAF 2023
2022,Black Sea,Fish Stock Biomass,0.39,GFCM SAF 2023
2023,Black Sea,Fish Stock Biomass,0.40,GFCM SAF 2023
2024,Black Sea,Fish Stock Biomass,0.41,GFCM SAF 2023
2025,Black Sea,Fish Stock Biomass,0.42,GFCM SAF 2023
2010,Black Sea,Sustainable Fishing,0.22,GFCM SAF 2023
2011,Black Sea,Sustainable Fishing,0.23,GFCM SAF 2023
2012,Black Sea,Sustainable Fishing,0.24,GFCM SAF 2023
2013,Black Sea,Sustainable Fishing,0.25,GFCM SAF 2023
2014,Black Sea,Sustainable Fishing,0.26,GFCM SAF 2023
2015,Black Sea,Sustainable Fishing,0.27,GFCM SAF 2023
2016,Black Sea,Sustainable Fishing,0.28,GFCM SAF 2023
2017,Black Sea,Sustainable Fishing,0.30,GFCM SAF 2023
2018,Black Sea,Sustainable Fishing,0.31,GFCM SAF 2023
2019,Black Sea,Sustainable Fishing,0.32,GFCM SAF 2023
2020,Black Sea,Sustainable Fishing,0.33,GFCM SAF 2023
2021,Black Sea,Sustainable Fishing,0.33,GFCM SAF 2023
2022,Black Sea,Sustainable Fishing,0.34,GFCM SAF 2023
2023,Black Sea,Sustainable Fishing,0.35,GFCM SAF 2023
2024,Black Sea,Sustainable Fishing,0.36,GFCM SAF 2023
2025,Black Sea,Sustainable Fishing,0.37,GFCM SAF 2023
